PASS: LLM API key not present in ai-backend logs
ai-backend-1  | INFO:     Started server process [1]
ai-backend-1  | 2026-09-19 21:13:33,017 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sat, 19 Sep 2026 21:13:32 GMT'), (b'content-type', b'application/json'), (b'cross-origin-opener-policy', b'same-origin'), (b'referrer-policy', b'same-origin'), (b'set-cookie', b'refreshToken=eyJhbGciOiJSUzI1NiIsImtpZCI6ImNMcDdLbTJZVW5oUnBPS2Z5dkEwNWt3NEw3azlhWnpQaXlIdlZGb2ZMalUiLCJ0eXAiOiJKV1QifQ.eyJpYXQiOjE3ODk4NTI0MTMsIm93bmVyIjoic2FsZW9yIiwiaXNzIjoiaHR0cDovL2xvY2FsaG9zdDo4MDAwL2dyYXBocWwvIiwiZXhwIjoxNzkyNDQ0NDEzLCJ0b2tlbiI6ImZXTnJhQlVkeU5lTSIsImVtYWlsIjoiYWRtaW5AZXhhbXBsZS5jb20iLCJ0eXBlIjoicmVmcmVzaCIsInVzZXJfaWQiOiJWWE5sY2pveCIsImlzX3N0YWZmIjp0cnVlLCJjc3JmVG9rZW4iOiJCTmxjVE5VenRsZ2tuSWs1dldCZGxrYXo2am1hVVJ2V3hLdm1aQTI2YlRTRDk4RFhqZmJjTHltTFF6ZDc3dFJ5In0.To2AdO0GYJy6lphq-0fYQPjlNSOGkxoHNzCHzAMiu0TY-AuombG_ofVNRG08jQzzTjAlcP8tNT3HQs27_CtQu30l6FsJIyaJEDc7zPAeJZu4nj9q7UgilGdc34QMJqFkdECw9LJxUG8bw3mU8A0tBf1Bq9qCllcKovN996n1xA-dKTi55UcH0vnod9rYYm8ww5FqC_3ffTSZcoNRXbmbvJSk-7d2DKal1qjP6o-GkLBzrH3i7-eKLUIcccps94PC8XN01cwwOWM-L23JOYqsKMGG_ihFDPaBB0JBQmboI9eOFpjoQGiLGeUjakkfSh3-6izPhIuFj8-yn4KZXjnsTg; expires=Mon, 19 Oct 2026 21:13:33 GMT; HttpOnly; Max-Age=2592000; Path=/; SameSite=Lax'), (b'x-content-type-options', b'nosniff'), (b'access-control-allow-credentials', b'true'), (b'content-encoding', b'gzip'), (b'content-length', b'1121'), (b'traceparent', b'00-c69d8212b41c001ad658196bac5b9e5d-18e4b9775af2ed52-01')])
ai-backend-1  | 2026-09-19 21:13:33,017 INFO [httpx] HTTP Request: POST http://saleor-api:8000/graphql/ "HTTP/1.1 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,017 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,018 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,018 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,018 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,018 DEBUG [httpcore.connection] close.started
ai-backend-1  | 2026-09-19 21:13:33,018 DEBUG [httpcore.connection] close.complete
ai-backend-1  | INFO:     172.18.0.1:54636 - "POST /api/v1/iam/login HTTP/1.1" 200 OK
ai-backend-1  | 2026-09-19 21:13:33,070 DEBUG [httpcore.connection] connect_tcp.started host='saleor-api' port=8000 local_address=None timeout=5.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,071 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484d34190>
ai-backend-1  | 2026-09-19 21:13:33,071 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,071 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,071 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,071 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,071 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,089 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sat, 19 Sep 2026 21:13:32 GMT'), (b'content-type', b'application/json'), (b'cross-origin-opener-policy', b'same-origin'), (b'referrer-policy', b'same-origin'), (b'x-content-type-options', b'nosniff'), (b'access-control-allow-credentials', b'true'), (b'content-encoding', b'gzip'), (b'content-length', b'361'), (b'traceparent', b'00-9a6b2b805c05ef11b29a77da59b118f9-bdacf746cce07e6c-01')])
ai-backend-1  | 2026-09-19 21:13:33,089 INFO [httpx] HTTP Request: POST http://saleor-api:8000/graphql/ "HTTP/1.1 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,090 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,090 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,090 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,090 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,090 DEBUG [httpcore.connection] close.started
ai-backend-1  | 2026-09-19 21:13:33,090 DEBUG [httpcore.connection] close.complete
ai-backend-1  | INFO:     172.18.0.1:54652 - "GET /api/v1/ai/providers HTTP/1.1" 200 OK
ai-backend-1  | 2026-09-19 21:13:33,119 DEBUG [httpcore.connection] connect_tcp.started host='saleor-api' port=8000 local_address=None timeout=5.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,120 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484d35950>
ai-backend-1  | 2026-09-19 21:13:33,120 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,120 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,120 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,120 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,120 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,137 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sat, 19 Sep 2026 21:13:32 GMT'), (b'content-type', b'application/json'), (b'cross-origin-opener-policy', b'same-origin'), (b'referrer-policy', b'same-origin'), (b'x-content-type-options', b'nosniff'), (b'access-control-allow-credentials', b'true'), (b'content-encoding', b'gzip'), (b'content-length', b'361'), (b'traceparent', b'00-1a6813974e62c631c3882746ff82e702-80bab643bb09ec3b-01')])
ai-backend-1  | 2026-09-19 21:13:33,137 INFO [httpx] HTTP Request: POST http://saleor-api:8000/graphql/ "HTTP/1.1 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,138 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,138 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,138 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,138 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,138 DEBUG [httpcore.connection] close.started
ai-backend-1  | 2026-09-19 21:13:33,138 DEBUG [httpcore.connection] close.complete
ai-backend-1  | 2026-09-19 21:13:33,143 DEBUG [httpcore.connection] connect_tcp.started host='host.docker.internal' port=9098 local_address=None timeout=30.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,147 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484d3d5b0>
ai-backend-1  | 2026-09-19 21:13:33,147 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,147 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,147 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,147 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,147 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,148 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.0', 200, b'OK', [(b'Server', b'BaseHTTP/0.6 Python/3.13.14'), (b'Date', b'Sat, 19 Sep 2026 21:13:33 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'360')])
ai-backend-1  | 2026-09-19 21:13:33,149 INFO [httpx] HTTP Request: POST http://host.docker.internal:9098/v1/chat/completions "HTTP/1.0 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,149 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,149 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,149 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,149 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,149 INFO [app.modules.ai.llm.gateway] LLM call ok provider=openai_compatible model=fake-model tokens=33
ai-backend-1  | INFO:     172.18.0.1:54656 - "POST /api/v1/ai/copy/product HTTP/1.1" 200 OK
ai-backend-1  | 2026-09-19 21:13:33,196 DEBUG [httpcore.connection] connect_tcp.started host='saleor-api' port=8000 local_address=None timeout=5.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,197 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484d81cd0>
ai-backend-1  | 2026-09-19 21:13:33,197 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,197 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,197 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,197 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,198 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,215 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sat, 19 Sep 2026 21:13:32 GMT'), (b'content-type', b'application/json'), (b'cross-origin-opener-policy', b'same-origin'), (b'referrer-policy', b'same-origin'), (b'x-content-type-options', b'nosniff'), (b'access-control-allow-credentials', b'true'), (b'content-encoding', b'gzip'), (b'content-length', b'361'), (b'traceparent', b'00-16d1603e0aeaaf9216ba87655b145555-31c2da6441ff15fa-01')])
ai-backend-1  | 2026-09-19 21:13:33,216 INFO [httpx] HTTP Request: POST http://saleor-api:8000/graphql/ "HTTP/1.1 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,216 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,216 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,216 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,216 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,216 DEBUG [httpcore.connection] close.started
ai-backend-1  | 2026-09-19 21:13:33,216 DEBUG [httpcore.connection] close.complete
ai-backend-1  | 2026-09-19 21:13:33,221 DEBUG [httpcore.connection] connect_tcp.started host='host.docker.internal' port=9098 local_address=None timeout=30.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,224 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484d2b9b0>
ai-backend-1  | 2026-09-19 21:13:33,224 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,224 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,224 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,224 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,224 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,225 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.0', 200, b'OK', [(b'Server', b'BaseHTTP/0.6 Python/3.13.14'), (b'Date', b'Sat, 19 Sep 2026 21:13:33 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'289')])
ai-backend-1  | 2026-09-19 21:13:33,225 INFO [httpx] HTTP Request: POST http://host.docker.internal:9098/v1/chat/completions "HTTP/1.0 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,225 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,225 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,225 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,225 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,226 INFO [app.modules.ai.llm.gateway] LLM call ok provider=openai_compatible model=fake-model tokens=33
ai-backend-1  | INFO:     172.18.0.1:54670 - "POST /api/v1/ai/translate HTTP/1.1" 200 OK
ai-backend-1  | 2026-09-19 21:13:33,238 DEBUG [httpcore.connection] connect_tcp.started host='saleor-api' port=8000 local_address=None timeout=5.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,239 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484db0c00>
ai-backend-1  | 2026-09-19 21:13:33,239 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,239 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,239 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,239 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,239 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,257 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sat, 19 Sep 2026 21:13:32 GMT'), (b'content-type', b'application/json'), (b'cross-origin-opener-policy', b'same-origin'), (b'referrer-policy', b'same-origin'), (b'x-content-type-options', b'nosniff'), (b'access-control-allow-credentials', b'true'), (b'content-encoding', b'gzip'), (b'content-length', b'361'), (b'traceparent', b'00-456113c870907543e2e6f91f7c0ce936-14a9a199d131efe3-01')])
ai-backend-1  | 2026-09-19 21:13:33,258 INFO [httpx] HTTP Request: POST http://saleor-api:8000/graphql/ "HTTP/1.1 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,258 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,258 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,258 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,258 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,258 DEBUG [httpcore.connection] close.started
ai-backend-1  | 2026-09-19 21:13:33,259 DEBUG [httpcore.connection] close.complete
ai-backend-1  | INFO:     172.18.0.1:54676 - "POST /api/v1/ai/chat/stream HTTP/1.1" 200 OK
ai-backend-1  | 2026-09-19 21:13:33,263 DEBUG [httpcore.connection] connect_tcp.started host='host.docker.internal' port=9098 local_address=None timeout=30.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,266 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484db2360>
ai-backend-1  | 2026-09-19 21:13:33,266 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,267 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,267 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,267 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,267 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,267 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.0', 200, b'OK', [(b'Server', b'BaseHTTP/0.6 Python/3.13.14'), (b'Date', b'Sat, 19 Sep 2026 21:13:33 GMT'), (b'Content-Type', b'text/event-stream'), (b'Content-Length', b'786')])
ai-backend-1  | 2026-09-19 21:13:33,268 INFO [httpx] HTTP Request: POST http://host.docker.internal:9098/v1/chat/completions "HTTP/1.0 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,268 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,268 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,268 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,269 DEBUG [httpcore.http11] receive_response_body.failed exception=GeneratorExit()
ai-backend-1  | 2026-09-19 21:13:33,291 DEBUG [httpcore.connection] connect_tcp.started host='saleor-api' port=8000 local_address=None timeout=5.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,292 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484bc0350>
ai-backend-1  | 2026-09-19 21:13:33,292 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,292 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,292 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,292 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,292 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,311 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sat, 19 Sep 2026 21:13:32 GMT'), (b'content-type', b'application/json'), (b'cross-origin-opener-policy', b'same-origin'), (b'referrer-policy', b'same-origin'), (b'x-content-type-options', b'nosniff'), (b'access-control-allow-credentials', b'true'), (b'content-encoding', b'gzip'), (b'content-length', b'361'), (b'traceparent', b'00-b2427ff354a4ddb7bb782803236380de-1873de32db4b33a4-01')])
ai-backend-1  | 2026-09-19 21:13:33,312 INFO [httpx] HTTP Request: POST http://saleor-api:8000/graphql/ "HTTP/1.1 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,312 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,312 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,312 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,312 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,312 DEBUG [httpcore.connection] close.started
ai-backend-1  | 2026-09-19 21:13:33,313 DEBUG [httpcore.connection] close.complete
ai-backend-1  | INFO:     172.18.0.1:54682 - "GET /api/v1/ai/usage HTTP/1.1" 200 OK
ai-backend-1  | 2026-09-19 21:13:33,337 DEBUG [httpcore.connection] connect_tcp.started host='saleor-api' port=8000 local_address=None timeout=5.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,338 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484bc1850>
ai-backend-1  | 2026-09-19 21:13:33,339 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,339 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,339 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,339 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,339 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,357 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sat, 19 Sep 2026 21:13:32 GMT'), (b'content-type', b'application/json'), (b'cross-origin-opener-policy', b'same-origin'), (b'referrer-policy', b'same-origin'), (b'x-content-type-options', b'nosniff'), (b'access-control-allow-credentials', b'true'), (b'content-encoding', b'gzip'), (b'content-length', b'361'), (b'traceparent', b'00-c12f4dd48801a2ca6293d545e74c4c10-90e88cb4d5aac139-01')])
ai-backend-1  | 2026-09-19 21:13:33,358 INFO [httpx] HTTP Request: POST http://saleor-api:8000/graphql/ "HTTP/1.1 200 OK"
ai-backend-1  | 2026-09-19 21:13:33,358 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,358 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,358 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,358 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,358 DEBUG [httpcore.connection] close.started
ai-backend-1  | 2026-09-19 21:13:33,358 DEBUG [httpcore.connection] close.complete
ai-backend-1  | 2026-09-19 21:13:33,363 DEBUG [httpcore.connection] connect_tcp.started host='host.docker.internal' port=9098 local_address=None timeout=30.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,366 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484da2c60>
ai-backend-1  | 2026-09-19 21:13:33,366 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,367 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,367 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,367 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,367 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,367 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.0', 500, b'Internal Server Error', [(b'Server', b'BaseHTTP/0.6 Python/3.13.14'), (b'Date', b'Sat, 19 Sep 2026 21:13:33 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'30')])
ai-backend-1  | 2026-09-19 21:13:33,367 INFO [httpx] HTTP Request: POST http://host.docker.internal:9098/v1/chat/completions "HTTP/1.0 500 Internal Server Error"
ai-backend-1  | 2026-09-19 21:13:33,368 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,368 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,368 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,368 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,572 DEBUG [httpcore.connection] connect_tcp.started host='host.docker.internal' port=9098 local_address=None timeout=30.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,576 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484bcc6e0>
ai-backend-1  | 2026-09-19 21:13:33,576 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,576 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:33,576 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,576 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:33,576 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,577 DEBUG [httpcore.http11] receive_response_headers.complete return_value=(b'HTTP/1.0', 500, b'Internal Server Error', [(b'Server', b'BaseHTTP/0.6 Python/3.13.14'), (b'Date', b'Sat, 19 Sep 2026 21:13:33 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'30')])
ai-backend-1  | 2026-09-19 21:13:33,577 INFO [httpx] HTTP Request: POST http://host.docker.internal:9098/v1/chat/completions "HTTP/1.0 500 Internal Server Error"
ai-backend-1  | 2026-09-19 21:13:33,577 DEBUG [httpcore.http11] receive_response_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:33,578 DEBUG [httpcore.http11] receive_response_body.complete
ai-backend-1  | 2026-09-19 21:13:33,578 DEBUG [httpcore.http11] response_closed.started
ai-backend-1  | 2026-09-19 21:13:33,578 DEBUG [httpcore.http11] response_closed.complete
ai-backend-1  | 2026-09-19 21:13:33,983 DEBUG [httpcore.connection] connect_tcp.started host='host.docker.internal' port=9098 local_address=None timeout=30.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:33,986 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484dae0b0>
